,No_RFA,With_RFA
2023-07-19,1037442.8091874297,1037442.8091874297
2023-07-20,1059140.2483403005,1059140.2483403005
2023-07-21,1100037.9913719373,1100037.9913719373
2023-07-24,1088683.5392789957,1088683.5392789957
2023-07-25,1065961.1501014822,1065961.1501014822
2023-07-26,1069883.436989161,1069883.436989161
2023-07-27,1040039.8032505752,1040039.8032505752
2023-07-28,1020274.0292944834,1020274.0292944834
2023-07-31,1022681.6973140263,1022681.6973140263
2023-08-01,1014699.5613054852,1014699.5613054852
2023-08-02,1027792.2887592108,1027792.2887592108
2023-08-03,1031575.8208246455,1031575.8208246455
2023-08-04,1023364.7862135267,1023364.7862135267
2023-08-07,1024830.7592934135,1024830.7592934135
2023-08-08,1027992.7396613944,1027992.7396613944
2023-08-09,1042408.9156893867,1042408.9156893867
2023-08-10,1043963.9806249081,1043963.9806249081
2023-08-11,1052800.1949986783,1052800.1949986783
2023-08-14,1053492.9610732063,1053492.9610732063
2023-08-15,1039960.0360859132,1039960.0360859132
2023-08-16,1083984.7882011835,1083984.7882011835
2023-08-17,1101357.8482127402,1101357.8482127402
2023-08-18,1087925.1994389156,1087925.1994389156
2023-08-21,1081069.3525823338,1081069.3525823338
2023-08-22,1085502.1503758002,1085502.1503758002
2023-08-23,1070122.0234301193,1070122.0234301193
2023-08-24,1066882.5686636495,1066882.5686636495
2023-08-25,1085164.4515984736,1085164.4515984736
2023-08-28,1082240.3967414498,1082240.3967414498
2023-08-29,1082511.2903603362,1082511.2903603362
2023-08-30,1072145.4490368813,1072145.4490368813
2023-08-31,1067628.7075383556,1067628.7075383556
2023-09-01,1072539.1270212757,1072539.1270212757
2023-09-04,1076851.5441007612,1076851.5441007612
2023-09-05,1095587.2726898668,1095587.2726898668
2023-09-06,1089082.3720513738,1089082.3720513738
2023-09-07,1112043.8204514994,1112043.8204514994
2023-09-08,1102296.9565169832,1102296.9565169832
2023-09-11,1105665.9438490942,1105665.9438490942
2023-09-12,1108642.6463107127,1108642.6463107127
2023-09-13,1105226.8426510512,1105226.8426510512
2023-09-14,1093413.3159261965,1093413.3159261965
2023-09-15,1092554.519469881,1092554.519469881
2023-09-18,1104430.3202530637,1104430.3202530637
2023-09-19,1098145.397215328,1098145.397215328
2023-09-20,1135222.4640955965,1135222.4640955965
2023-09-21,1100314.7217850187,1100314.7217850187
2023-09-22,1108356.371924156,1108356.371924156
2023-09-25,1133549.961472325,1133549.961472325
2023-09-26,1087535.280376493,1087535.280376493
2023-09-27,1103076.5390280883,1103076.5390280883
2023-09-28,1088449.9193603187,1088449.9193603187
2023-09-29,1095791.2587334006,1095791.2587334006
