,No_RFA,With_RFA
2023-07-18,1104603.2277249345,1104603.2277249345
2023-07-19,1087542.8091874297,1087542.8091874297
2023-07-20,1109240.2483403005,1109240.2483403005
2023-07-21,1150137.9913719373,1150137.9913719373
2023-07-24,1138783.5392789957,1138783.5392789957
2023-07-25,1116061.1501014822,1116061.1501014822
2023-07-26,1119983.436989161,1119983.436989161
2023-07-27,1090139.8032505752,1090139.8032505752
2023-07-28,1070374.0292944834,1070374.0292944834
2023-07-31,1072781.6973140263,1072781.6973140263
2023-08-01,1064799.5613054852,1064799.5613054852
2023-08-02,1077892.2887592108,1077892.2887592108
2023-08-03,1081675.8208246455,1081675.8208246455
2023-08-04,1073464.7862135267,1073464.7862135267
2023-08-07,1074930.7592934135,1074930.7592934135
2023-08-08,1078092.7396613944,1078092.7396613944
2023-08-09,1092508.9156893867,1092508.9156893867
2023-08-10,1094063.980624908,1094063.980624908
2023-08-11,1102900.1949986783,1102900.1949986783
2023-08-14,1103592.9610732063,1103592.9610732063
2023-08-15,1090060.0360859132,1090060.0360859132
2023-08-16,1134084.7882011835,1134084.7882011835
2023-08-17,1151457.8482127402,1151457.8482127402
2023-08-18,1138025.1994389156,1138025.1994389156
2023-08-21,1131169.3525823338,1131169.3525823338
2023-08-22,1135602.1503758002,1135602.1503758002
2023-08-23,1120222.0234301193,1120222.0234301193
2023-08-24,1116982.5686636495,1116982.5686636495
2023-08-25,1135264.4515984736,1135264.4515984736
2023-08-28,1132340.3967414498,1132340.3967414498
2023-08-29,1132611.2903603362,1132611.2903603362
2023-08-30,1122245.4490368813,1122245.4490368813
2023-08-31,1117728.7075383556,1117728.7075383556
2023-09-01,1122639.1270212757,1122639.1270212757
2023-09-04,1126951.5441007612,1126951.5441007612
2023-09-05,1145687.2726898668,1145687.2726898668
2023-09-06,1139182.3720513738,1139182.3720513738
2023-09-07,1162143.8204514994,1162143.8204514994
2023-09-08,1152396.9565169832,1152396.9565169832
2023-09-11,1155765.9438490942,1155765.9438490942
2023-09-12,1158742.6463107127,1158742.6463107127
2023-09-13,1155326.8426510512,1155326.8426510512
2023-09-14,1143513.3159261965,1143513.3159261965
2023-09-15,1142654.519469881,1142654.519469881
2023-09-18,1154530.3202530637,1154530.3202530637
2023-09-19,1148245.397215328,1148245.397215328
2023-09-20,1185322.4640955965,1185322.4640955965
2023-09-21,1150414.7217850187,1150414.7217850187
2023-09-22,1158456.371924156,1158456.371924156
2023-09-25,1183649.961472325,1183649.961472325
2023-09-26,1137635.280376493,1137635.280376493
2023-09-27,1153176.5390280883,1153176.5390280883
2023-09-28,1138549.9193603187,1138549.9193603187
2023-09-29,1145891.2587334006,1145891.2587334006
